name,number_of_matches,playing_years
Jannik Sinner,201,"[2019, 2020, 2021, 2022, 2023, 2024]"
Carlos Alcaraz,174,"[2019, 2020, 2021, 2022, 2023, 2024]"
Alexander Zverev,281,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Novak Djokovic,577,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Daniil Medvedev,286,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Taylor Fritz,115,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Andrey Rublev,188,"[2015, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Casper Ruud,169,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Grigor Dimitrov,172,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Alex De Minaur,113,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Stefanos Tsitsipas,210,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Tommy Paul,72,"[2016, 2017, 2019, 2020, 2021, 2022, 2023, 2024]"
Hubert Hurkacz,291,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Holger Rune,68,"[2019, 2021, 2022, 2023, 2024]"
Frances Tiafoe,72,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Ugo Humbert,52,"[2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Lorenzo Musetti,80,"[2019, 2020, 2021, 2022, 2023, 2024]"
Jack Draper,26,"[2021, 2022, 2023, 2024]"
Felix Auger Aliassime,115,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Arthur Fils,40,"[2021, 2023, 2024]"
Alejandro Tabilo,20,"[2020, 2021, 2022, 2024]"
Sebastian Korda,50,"[2019, 2020, 2021, 2022, 2023, 2024]"
Ben Shelton,33,"[2021, 2022, 2023, 2024]"
Karen Khachanov,98,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Alexei Popyrin,27,"[2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Sebastian Baez,55,"[2021, 2022, 2023, 2024]"
Tomas Machac,22,"[2020, 2022, 2023, 2024]"
Jiri Lehecka,44,"[2019, 2021, 2022, 2023, 2024]"
Jordan Thompson,32,"[2015, 2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024]"
Francisco Cerundolo,41,"[2020, 2021, 2022, 2023, 2024]"
Flavio Cobolli,16,"[2021, 2022, 2023, 2024]"
Alexander Bublik,75,"[2016, 2017, 2019, 2020, 2021, 2022, 2023, 2024]"
Nuno Borges,17,"[2021, 2022, 2023, 2024]"
Nicolas Jarry,58,"[2017, 2018, 2019, 2020, 2022, 2023, 2024]"
Tallon Griekspoor,77,"[2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Tomas Martin Etcheverry,20,"[2020, 2022, 2023, 2024]"
Matteo Arnaldi,20,"[2022, 2023, 2024]"
Brandon Nakashima,34,"[2020, 2021, 2022, 2023, 2024]"
Pedro Martinez,27,"[2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Jan Lennard Struff,56,"[2014, 2015, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Matteo Berrettini,98,"[2016, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Luciano Darderi,12,"[2022, 2023, 2024]"
Alex Michelsen,15,"[2023, 2024]"
Mariano Navone,13,"[2022, 2024]"
Roberto Bautista Agut,96,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Zhizhen Zhang,23,"[2019, 2022, 2023, 2024]"
Juncheng Shang,10,"[2021, 2023, 2024]"
Marcos Giron,26,"[2013, 2018, 2019, 2021, 2022, 2023, 2024]"
Lorenzo Sonego,43,"[2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Giovanni Mpetshi Perricard,13,"[2023, 2024]"
Jakub Mensik,12,"[2022, 2023, 2024]"
Gael Monfils,133,"[2005, 2006, 2008, 2009, 2010, 2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Cameron Norrie,66,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
David Goffin,99,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Roberto Carballes Baena,28,"[2015, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Fabian Marozsan,15,"[2021, 2022, 2023, 2024]"
Adrian Mannarino,80,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Miomir Kecmanovic,47,"[2017, 2019, 2020, 2021, 2022, 2023, 2024]"
Alexander Shevchenko,17,"[2022, 2023, 2024]"
Roman Safiullin,17,"[2017, 2019, 2022, 2023, 2024]"
Arthur Rinderknech,15,"[2020, 2021, 2022, 2023, 2024]"
Alejandro Davidovich Fokina,54,"[2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Jaume Munar,25,"[2018, 2019, 2021, 2022, 2023, 2024]"
Yoshihito Nishioka,45,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Zizou Bergs,7,"[2021, 2023, 2024]"
Facundo Diaz Acosta,6,"[2022, 2023, 2024]"
Botic Van De Zandschulp,91,"[2019, 2020, 2021, 2022, 2023, 2024]"
Alexandre Muller,10,"[2019, 2023, 2024]"
James Duckworth,11,"[2014, 2015, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Corentin Moutet,20,"[2017, 2018, 2019, 2020, 2022, 2023, 2024]"
Christopher Oconnell,15,"[2015, 2020, 2022, 2023, 2024]"
Aleksandar Vukic,13,"[2019, 2020, 2022, 2023, 2024]"
Hugo Gaston,15,"[2020, 2021, 2022, 2023, 2024]"
Dusan Lajovic,44,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
Pavel Kotov,7,"[2020, 2021, 2022, 2023, 2024]"
Bu Yunchaokete,4,"[2023, 2024]"
