name,year,tournament,rounds
Jannik Sinner,2019,Bergamo CH,"['QF', 'F']"
Jannik Sinner,2019,Alicante CH,['R64']
Jannik Sinner,2019,Ostrava CH,['F']
Jannik Sinner,2019,Rome Masters,['R64']
Jannik Sinner,2019,US Open,['R128']
Jannik Sinner,2019,St Petersburg,['R32']
Jannik Sinner,2019,Antwerp,"['R32', 'R16', 'QF', 'SF']"
Jannik Sinner,2019,Vienna,"['R32', 'R16']"
Jannik Sinner,2019,NextGen Finals,"['RR', 'SF', 'F']"
Jannik Sinner,2019,Ortisei CH,['F']
Jannik Sinner,2020,Australian Open,['R64']
Jannik Sinner,2020,Montpellier,['R32']
Jannik Sinner,2020,Marseille,['R16']
Jannik Sinner,2020,Rome Masters,['R32']
Jannik Sinner,2020,Roland Garros,"['R64', 'R32', 'R16', 'QF']"
Jannik Sinner,2020,Sofia,['F']
Jannik Sinner,2021,Great Ocean Road Open,['F']
Jannik Sinner,2021,Australian Open,['R128']
Jannik Sinner,2021,Marseille,['QF']
Jannik Sinner,2021,Dubai,['QF']
Jannik Sinner,2021,Miami Masters,"['R16', 'QF', 'SF', 'F']"
Jannik Sinner,2021,Barcelona,['QF']
Jannik Sinner,2021,Roland Garros,"['R128', 'R16']"
Jannik Sinner,2021,Washington,"['R32', 'R16', 'QF', 'SF', 'F']"
Jannik Sinner,2021,US Open,"['R32', 'R16']"
Jannik Sinner,2021,Sofia,['F']
Jannik Sinner,2021,Antwerp,"['QF', 'F']"
Jannik Sinner,2021,Vienna,"['R32', 'QF', 'SF']"
Jannik Sinner,2021,Paris Masters,['R32']
Jannik Sinner,2021,Tour Finals,"['RR', 'RR']"
Jannik Sinner,2022,ATP Cup,['RR']
Jannik Sinner,2022,Australian Open,"['R64', 'QF']"
Jannik Sinner,2022,Dubai,['QF']
Jannik Sinner,2022,Miami Masters,"['R64', 'R32', 'R16', 'QF']"
Jannik Sinner,2022,Monte Carlo Masters,"['R64', 'R32', 'R16']"
Jannik Sinner,2022,Madrid Masters,"['R64', 'R32', 'R16']"
Jannik Sinner,2022,Rome Masters,"['R64', 'QF']"
Jannik Sinner,2022,Eastbourne,['R16']
Jannik Sinner,2022,Wimbledon,"['R16', 'QF']"
Jannik Sinner,2022,Umag,"['QF', 'SF', 'F']"
Jannik Sinner,2022,Canada Masters,['R16']
Jannik Sinner,2022,Cincinnati Masters,['R16']
Jannik Sinner,2022,US Open,"['R32', 'R16', 'QF']"
Jannik Sinner,2022,Sofia,['SF']
Jannik Sinner,2022,Vienna,"['R32', 'QF']"
Jannik Sinner,2023,Adelaide,"['R16', 'QF']"
Jannik Sinner,2023,Australian Open,"['R128', 'R64', 'R32', 'R16']"
Jannik Sinner,2023,Montpellier,"['SF', 'F']"
Jannik Sinner,2023,Rotterdam,"['R16', 'QF', 'SF', 'F']"
Jannik Sinner,2023,Indian Wells Masters,"['R64', 'R32', 'SF']"
Jannik Sinner,2023,Miami Masters,"['R64', 'R32', 'R16', 'QF', 'SF', 'F']"
Jannik Sinner,2023,Monte Carlo Masters,"['R32', 'R16', 'QF', 'SF']"
Jannik Sinner,2023,Rome Masters,"['R64', 'R32', 'R16']"
Jannik Sinner,2023,Roland Garros,"['R128', 'R64']"
Jannik Sinner,2023,s Hertogenbosch,"['R16', 'QF']"
Jannik Sinner,2023,Halle,"['R32', 'R16', 'QF']"
Jannik Sinner,2023,Wimbledon,"['R128', 'R64', 'R32', 'R16', 'QF', 'SF']"
Jannik Sinner,2023,Canada Masters,"['R32', 'QF', 'SF', 'F']"
Jannik Sinner,2023,US Open,"['R32', 'R16']"
Jannik Sinner,2023,Beijing,"['SF', 'F']"
Jannik Sinner,2023,Shanghai Masters,['R32']
Jannik Sinner,2023,Vienna,"['R32', 'F']"
Jannik Sinner,2023,Paris Masters,['R32']
Jannik Sinner,2023,Tour Finals,"['RR', 'RR', 'SF', 'F']"
Jannik Sinner,2023,Davis Cup Finals,"['QF', 'RR', 'SF']"
Jannik Sinner,2024,Australian Open,"['R128', 'R64', 'R32', 'R16', 'QF', 'SF', 'F']"
Jannik Sinner,2024,Rotterdam,"['R32', 'F']"
Jannik Sinner,2024,Indian Wells Masters,"['R64', 'R32', 'R16', 'SF']"
Jannik Sinner,2024,Miami Masters,"['R64', 'R32', 'R16', 'QF', 'SF', 'F']"
Jannik Sinner,2024,Monte Carlo Masters,"['R32', 'R16', 'QF', 'SF']"
Jannik Sinner,2024,Madrid Masters,"['R64', 'R16']"
Jannik Sinner,2024,Roland Garros,"['R128', 'R64', 'R32', 'R16', 'QF', 'SF']"
Jannik Sinner,2024,Halle,"['SF', 'F']"
Jannik Sinner,2024,Wimbledon,"['R128', 'R64', 'R32', 'R16', 'QF']"
Jannik Sinner,2024,Canada Masters,"['QF', 'R16']"
Jannik Sinner,2024,Cincinnati Masters,"['R32', 'QF', 'SF', 'F']"
Jannik Sinner,2024,US Open,"['R128', 'R64', 'R32', 'R16', 'QF', 'SF', 'F']"
Jannik Sinner,2024,Beijing,"['R32', 'SF', 'F']"
Jannik Sinner,2024,Shanghai Masters,"['R16', 'QF', 'SF', 'F']"
Carlos Alcaraz,2019,Alicante CH,['R64']
Carlos Alcaraz,2019,Murcia CH,['R32']
Carlos Alcaraz,2020,Rio de Janeiro,"['R32', 'R16']"
Carlos Alcaraz,2020,Trieste CH,"['SF', 'F']"
Carlos Alcaraz,2020,Cordenons CH,['F']
Carlos Alcaraz,2020,Roland Garros,['Q1']
Carlos Alcaraz,2020,Barcelona CH,['F']
Carlos Alcaraz,2020,Alicante CH,['F']
Carlos Alcaraz,2021,Australian Open,['R128']
Carlos Alcaraz,2021,Miami Masters,['R128']
Carlos Alcaraz,2021,Madrid Masters,['R32']
Carlos Alcaraz,2021,Wimbledon,['R64']
Carlos Alcaraz,2021,Umag,"['R32', 'F']"
Carlos Alcaraz,2021,US Open,"['R32', 'R16']"
Carlos Alcaraz,2021,Indian Wells Masters,['R64']
Carlos Alcaraz,2021,Vienna,['R32']
Carlos Alcaraz,2021,Paris Masters,"['R64', 'R32', 'R16']"
Carlos Alcaraz,2021,NextGen Finals,"['RR', 'RR', 'SF', 'F']"
Carlos Alcaraz,2022,Australian Open,['R32']
Carlos Alcaraz,2022,Rio de Janeiro,"['R32', 'R16', 'QF', 'SF', 'F']"
Carlos Alcaraz,2022,Indian Wells Masters,"['R32', 'R16', 'SF']"
Carlos Alcaraz,2022,Miami Masters,"['R16', 'QF', 'SF', 'F']"
Carlos Alcaraz,2022,Monte Carlo Masters,['R32']
Carlos Alcaraz,2022,Barcelona,"['QF', 'F', 'SF']"
Carlos Alcaraz,2022,Madrid Masters,"['QF', 'SF', 'F']"
Carlos Alcaraz,2022,Roland Garros,"['QF', 'R64']"
Carlos Alcaraz,2022,Wimbledon,['R16']
Carlos Alcaraz,2022,Hamburg,"['R32', 'SF', 'F']"
Carlos Alcaraz,2022,Umag,"['SF', 'F']"
Carlos Alcaraz,2022,Canada Masters,['R32']
Carlos Alcaraz,2022,Cincinnati Masters,"['R32', 'QF']"
Carlos Alcaraz,2022,US Open,"['R32', 'R16', 'QF', 'SF', 'F']"
Carlos Alcaraz,2022,Astana,['R32']
Carlos Alcaraz,2022,Basel,"['R32', 'R16', 'SF']"
Carlos Alcaraz,2022,Paris Masters,"['R32', 'R16']"
Carlos Alcaraz,2023,Buenos Aires,"['R16', 'QF', 'SF', 'F']"
Carlos Alcaraz,2023,Rio de Janeiro,"['R32', 'SF', 'F']"
Carlos Alcaraz,2023,Indian Wells Masters,"['R64', 'R32', 'QF', 'SF', 'F']"
Carlos Alcaraz,2023,Miami Masters,"['R32', 'R16', 'QF', 'SF']"
Carlos Alcaraz,2023,Barcelona,"['SF', 'F']"
Carlos Alcaraz,2023,Madrid Masters,"['R64', 'R16', 'QF', 'SF', 'F']"
Carlos Alcaraz,2023,Rome Masters,"['R64', 'R32']"
Carlos Alcaraz,2023,Roland Garros,"['R128', 'R32', 'R16', 'QF', 'SF']"
Carlos Alcaraz,2023,Queens Club,"['R32', 'SF', 'F']"
Carlos Alcaraz,2023,Wimbledon,"['R128', 'R64', 'R32', 'R16', 'QF', 'SF', 'F']"
Carlos Alcaraz,2023,Canada Masters,"['R16', 'QF']"
Carlos Alcaraz,2023,Cincinnati Masters,"['QF', 'SF', 'F']"
Carlos Alcaraz,2023,US Open,"['R128', 'R64', 'R32', 'R16', 'QF', 'SF']"
Carlos Alcaraz,2023,Beijing,"['QF', 'SF']"
Carlos Alcaraz,2023,Shanghai Masters,['R16']
Carlos Alcaraz,2023,Paris Masters,['R32']
Carlos Alcaraz,2023,Tour Finals,"['RR', 'RR', 'RR', 'SF']"
Carlos Alcaraz,2024,Australian Open,"['R16', 'QF']"
Carlos Alcaraz,2024,Buenos Aires,"['R16', 'QF', 'SF']"
Carlos Alcaraz,2024,Indian Wells Masters,"['R64', 'R32', 'R16', 'QF', 'SF', 'F']"
Carlos Alcaraz,2024,Miami Masters,"['R64', 'R16', 'R32', 'QF']"
Carlos Alcaraz,2024,Madrid Masters,"['R64', 'QF']"
Carlos Alcaraz,2024,Roland Garros,"['R128', 'R64', 'R32', 'R16', 'QF', 'SF', 'F']"
Carlos Alcaraz,2024,Queens Club,['R16']
Carlos Alcaraz,2024,Wimbledon,"['R128', 'R32', 'R16', 'QF', 'SF', 'F']"
Carlos Alcaraz,2024,Olympics,"['R64', 'R32', 'QF', 'SF', 'F']"
Carlos Alcaraz,2024,Cincinnati Masters,['R32']
Carlos Alcaraz,2024,US Open,['R64']
Carlos Alcaraz,2024,Beijing,"['R32', 'R16', 'QF', 'SF', 'F']"
Carlos Alcaraz,2024,Shanghai Masters,"['R64', 'R16', 'QF']"
Alexander Zverev,2014,Stuttgart,['R32']
Alexander Zverev,2014,Mons CH,['QF']
Alexander Zverev,2015,Rotterdam,['R32']
Alexander Zverev,2015,Marseille,['R32']
Alexander Zverev,2015,Nottingham,['R16']
Alexander Zverev,2015,Bastad,['QF']
Alexander Zverev,2016,Hopman Cup,['RR']
